trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
25,False,"{'a': 0.01, 'e': 0.992197667229329}",25,0,-136.70834371719954,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
26,False,"{'a': 0.01, 'e': 0.9915618937147881}",30,0,-136.22567320708416,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
27,False,"{'a': 0.01, 'e': 0.9909013312045479}",25,0,-128.3909122517189,"{0: 13, 1: 8, 2: 2, 3: 0, 4: 2}",0
28,False,"{'a': 0.01, 'e': 0.9902159962126371}",35,2,-95.46665589678004,"{0: 19, 1: 7, 2: 5, 3: 2, 4: 0}",1
29,False,"{'a': 0.01, 'e': 0.9895059058723947}",25,0,-213.16267390567498,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 4}",0
30,False,"{'a': 0.01, 'e': 0.9887710779360422}",20,0,-129.12123073467404,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 1}",0
31,False,"{'a': 0.01, 'e': 0.9880115307742399}",30,0,-230.7050164717811,"{0: 14, 1: 3, 2: 7, 3: 4, 4: 2}",0
32,False,"{'a': 0.01, 'e': 0.9872272833756269}",25,0,-204.13867068231866,"{0: 12, 1: 3, 2: 6, 3: 1, 4: 3}",0
33,False,"{'a': 0.01, 'e': 0.9864183553463477}",20,0,-124.82154117380936,"{0: 10, 1: 7, 2: 0, 3: 1, 4: 2}",0
34,False,"{'a': 0.01, 'e': 0.9855847669095608}",20,0,-77.8791396437638,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
